<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USD000UTSTOM;D;03/28/16;000000;68.4700000
USD000UTSTOM;D;03/29/16;000000;68.0500000
USD000UTSTOM;D;03/30/16;000000;68.2400000
USD000UTSTOM;D;03/31/16;000000;67.0250000
USD000UTSTOM;D;04/01/16;000000;67.5950000
USD000UTSTOM;D;04/04/16;000000;68.7000000
USD000UTSTOM;D;04/05/16;000000;68.5620000
USD000UTSTOM;D;04/06/16;000000;67.5900000
USD000UTSTOM;D;04/07/16;000000;68.0280000
USD000UTSTOM;D;04/08/16;000000;67.1500000
USD000UTSTOM;D;04/11/16;000000;66.7730000
USD000UTSTOM;D;04/12/16;000000;65.7150000
USD000UTSTOM;D;04/13/16;000000;66.3100000
USD000UTSTOM;D;04/14/16;000000;66.1660000
USD000UTSTOM;D;04/15/16;000000;66.4470000
USD000UTSTOM;D;04/18/16;000000;66.1180000
USD000UTSTOM;D;04/19/16;000000;65.8530000
USD000UTSTOM;D;04/20/16;000000;65.1570000
USD000UTSTOM;D;04/21/16;000000;66.8400000
USD000UTSTOM;D;04/22/16;000000;66.4550000
USD000UTSTOM;D;04/25/16;000000;66.5670000
USD000UTSTOM;D;04/26/16;000000;65.2000000
USD000UTSTOM;D;04/27/16;000000;65.1200000
USD000UTSTOM;D;04/28/16;000000;64.7190000
USD000UTSTOM;D;04/29/16;000000;64.6300000
USD000UTSTOM;D;05/04/16;000000;66.5290000
USD000UTSTOM;D;05/05/16;000000;65.8900000
USD000UTSTOM;D;05/06/16;000000;65.9450000
USD000UTSTOM;D;05/10/16;000000;66.3100000
USD000UTSTOM;D;05/11/16;000000;64.9780000
USD000UTSTOM;D;05/12/16;000000;64.8950000
USD000UTSTOM;D;05/13/16;000000;65.4800000
USD000UTSTOM;D;05/16/16;000000;64.9000000
USD000UTSTOM;D;05/17/16;000000;64.7200000
USD000UTSTOM;D;05/18/16;000000;65.9990000
USD000UTSTOM;D;05/19/16;000000;66.7800000
USD000UTSTOM;D;05/20/16;000000;66.7980000
USD000UTSTOM;D;05/23/16;000000;66.8080000
USD000UTSTOM;D;05/24/16;000000;66.1840000
USD000UTSTOM;D;05/25/16;000000;65.5080000
USD000UTSTOM;D;05/26/16;000000;65.8010000
USD000UTSTOM;D;05/27/16;000000;66.1440000
USD000UTSTOM;D;05/30/16;000000;65.7500000
USD000UTSTOM;D;05/31/16;000000;66.7000000
USD000UTSTOM;D;06/01/16;000000;67.1400000
USD000UTSTOM;D;06/02/16;000000;66.9600000
USD000UTSTOM;D;06/03/16;000000;65.6200000
USD000UTSTOM;D;06/06/16;000000;65.2450000
USD000UTSTOM;D;06/07/16;000000;64.6225000
USD000UTSTOM;D;06/08/16;000000;63.6100000
USD000UTSTOM;D;06/09/16;000000;64.3275000
USD000UTSTOM;D;06/10/16;000000;65.2800000
USD000UTSTOM;D;06/14/16;000000;66.1400000
USD000UTSTOM;D;06/15/16;000000;65.5125000
USD000UTSTOM;D;06/16/16;000000;65.7800000
